[Global Variables]
DI_Dil_zasunut, GLOBAL, BOOL, 1, 0
DI_Dvere_otevreny, GLOBAL, BOOL, 1, 0
DI_Dvere_zavreny, GLOBAL, BOOL, 1, 0
DI_Kamera_inspection_failed, GLOBAL, BOOL, 1, 0
DI_Kamera_object_not_located, GLOBAL, BOOL, 1, 0
DI_Kamera_test_ok, GLOBAL, BOOL, 1, 0
DI_Laser, GLOBAL, BOOL, 1, 0
DI_Prepinac_reset, GLOBAL, BOOL, 1, 0
DO_Kamera_1, GLOBAL, BOOL, 1, 1
DO_Kamera_2, GLOBAL, BOOL, 1, 0
DO_Kamera_3, GLOBAL, BOOL, 1, 0
DO_Kamera_4, GLOBAL, BOOL, 1, 0
DO_Lampa_ruda, GLOBAL, BOOL, 1, 0
DO_Lampa_zelena, GLOBAL, BOOL, 1, 0
DO_Laser, GLOBAL, BOOL, 1, 0
DO_Podsviceni_kamery, GLOBAL, BOOL, 1, 0
DO_Sirena, GLOBAL, BOOL, 1, 0
DO_Tisk_modra, GLOBAL, BOOL, 1, 0
DO_Tisk_zluta, GLOBAL, BOOL, 1, 0
DO_Ventil_dvere_otevrit, GLOBAL, BOOL, 1, 0
DO_Ventil_dvere_zavrit, GLOBAL, BOOL, 1, 0
Pocty_smaz, GLOBAL, USINT, 1, 0
bResult_NOK, GLOBAL, BOOL, 1, 0
bResult_OK, GLOBAL, BOOL, 1, 0
iCisloHlaseni, GLOBAL, UINT, 2, 0
iCisloSceny, GLOBAL, USINT, 1, 0
iCisloVadneDrazky, GLOBAL, USINT, 1, 0
iPasswordLevel, GLOBAL, USINT, 1, 0
iPocitadlo, GLOBAL, UINT, 2, 0
iPocitadloNOK, GLOBAL, UINT, 2, 0
iPocitadloNOK_EU, GLOBAL, UINT, 2, 0
iPocitadloNOK_US, GLOBAL, UINT, 2, 0
iPocitadloOK, GLOBAL, UINT, 2, 0
iPocitadloOK_EU, GLOBAL, UINT, 2, 0
iPocitadloOK_US, GLOBAL, UINT, 2, 0
iResetNOK_EU, GLOBAL, UINT, 2, 0
iResetNOK_US, GLOBAL, UINT, 2, 0
iTypOperky, GLOBAL, UINT, 2, 1
stepHlavni, GLOBAL, USINT, 1, 0
